Id,ActivityDate,SedentaryMinutes,TotalMinutesAsleep
3977333714,2016-05-02,713,230
3977333714,2016-05-03,594,292
3977333714,2016-05-04,852,213
3977333714,2016-05-05,680,318
3977333714,2016-05-06,676,323
3977333714,2016-05-07,703,237
3977333714,2016-05-08,688,259
3977333714,2016-05-10,676,312
4020332650,2016-04-12,712,501
4020332650,2016-04-16,1222,77
4020332650,2016-05-03,950,322
4020332650,2016-05-04,531,478
4020332650,2016-05-05,916,226
4020332650,2016-05-06,855,385
4020332650,2016-05-08,775,364
4020332650,2016-05-10,774,442
4319703577,2016-04-14,589,535
4319703577,2016-04-15,752,465
4319703577,2016-04-16,724,506
4319703577,2016-04-18,824,515
4319703577,2016-04-19,604,461
4319703577,2016-04-20,671,523
4319703577,2016-04-21,1265,59
4319703577,2016-04-22,709,533
4319703577,2016-04-23,546,692
4319703577,2016-04-24,692,467
4319703577,2016-04-25,544,488
4319703577,2016-04-26,649,505
4319703577,2016-04-27,680,286
4319703577,2016-04-28,552,497
4319703577,2016-04-29,624,523
4319703577,2016-04-30,695,490
4319703577,2016-05-01,836,484
4319703577,2016-05-02,585,478
4319703577,2016-05-03,669,474
4319703577,2016-05-06,692,450
4319703577,2016-05-07,586,507
4319703577,2016-05-08,603,602
4319703577,2016-05-09,490,535
4319703577,2016-05-10,555,487
4319703577,2016-05-11,574,529
4319703577,2016-05-12,0,302
4388161847,2016-04-15,837,499
4388161847,2016-04-16,609,426
4388161847,2016-04-17,721,619
4388161847,2016-04-18,1017,99
4388161847,2016-04-19,704,329
4388161847,2016-04-20,696,421
4388161847,2016-04-21,853,442
4388161847,2016-04-22,945,82
4388161847,2016-04-23,749,478
4388161847,2016-04-24,584,552
4388161847,2016-04-26,673,319
4388161847,2016-04-27,684,439
4388161847,2016-04-28,878,428
4388161847,2016-04-30,537,409
4388161847,2016-05-01,579,547
4388161847,2016-05-02,935,368
4388161847,2016-05-04,632,390
4388161847,2016-05-05,896,471
4388161847,2016-05-07,508,472
4388161847,2016-05-08,576,529
4388161847,2016-05-09,1020,62
4388161847,2016-05-10,648,354
4388161847,2016-05-11,858,469
4445114986,2016-04-12,787,429
4445114986,2016-04-13,840,370
4445114986,2016-04-14,717,441
4445114986,2016-04-15,711,337
4445114986,2016-04-16,716,462
4445114986,2016-04-17,1219,98
4445114986,2016-04-19,895,388
4445114986,2016-04-20,841,439
4445114986,2016-04-21,756,436
4445114986,2016-04-22,706,388
4445114986,2016-04-25,916,328
4445114986,2016-04-26,839,353
4445114986,2016-04-27,839,332
4445114986,2016-04-28,762,419
4445114986,2016-04-29,1106,106
4445114986,2016-04-30,797,322
4445114986,2016-05-01,741,439
4445114986,2016-05-02,667,502
4445114986,2016-05-03,725,417
4445114986,2016-05-04,897,337
4445114986,2016-05-05,734,462
4445114986,2016-05-06,809,374
4445114986,2016-05-07,866,401
4445114986,2016-05-08,733,361
4445114986,2016-05-09,641,457
4445114986,2016-05-10,783,405
4445114986,2016-05-11,622,499
4445114986,2016-05-12,380,483
4558609924,2016-04-21,844,126
4558609924,2016-04-26,1062,103
4558609924,2016-04-29,1096,171
4558609924,2016-05-01,1121,115
4558609924,2016-05-08,1019,123
4702921684,2016-04-12,718,425
4702921684,2016-04-13,777,400
4702921684,2016-04-14,772,384
4702921684,2016-04-15,944,253
4702921684,2016-04-16,556,382
4702921684,2016-04-17,437,591
4702921684,2016-04-18,890,293
4702921684,2016-04-19,757,457
4702921684,2016-04-20,717,454
4702921684,2016-04-21,901,425
4702921684,2016-04-23,469,465
4702921684,2016-04-24,542,480
4702921684,2016-04-25,730,370
4702921684,2016-04-26,765,421
4702921684,2016-04-27,733,432
4702921684,2016-04-28,738,442
4702921684,2016-04-29,692,433
4702921684,2016-04-30,728,479
4702921684,2016-05-03,729,327
4702921684,2016-05-04,757,412
4702921684,2016-05-05,745,414
4702921684,2016-05-06,682,404
4702921684,2016-05-07,577,520
4702921684,2016-05-09,746,435
4702921684,2016-05-10,701,416
4702921684,2016-05-11,784,354
4702921684,2016-05-12,241,404
5553957443,2016-04-12,767,441
5553957443,2016-04-13,647,455
5553957443,2016-04-14,693,357
5553957443,2016-04-15,689,377
5553957443,2016-04-16,521,651
5553957443,2016-04-17,943,350
5553957443,2016-04-18,622,520
5553957443,2016-04-19,756,357
5553957443,2016-04-20,598,658
5553957443,2016-04-21,801,399
5553957443,2016-04-22,781,322
5553957443,2016-04-23,443,631
5553957443,2016-04-24,582,553
5553957443,2016-04-25,732,433
5553957443,2016-04-26,750,412
5553957443,2016-04-27,745,347
5553957443,2016-04-28,727,421
5553957443,2016-04-29,709,450
5553957443,2016-04-30,506,775
5553957443,2016-05-01,436,622
5553957443,2016-05-02,724,409
5553957443,2016-05-03,812,380
5553957443,2016-05-04,651,447
5553957443,2016-05-05,692,419
5553957443,2016-05-06,761,400
5553957443,2016-05-07,902,442
5553957443,2016-05-08,505,568
5553957443,2016-05-09,667,453
5553957443,2016-05-10,707,418
5553957443,2016-05-11,628,463
5553957443,2016-05-12,222,438
5577150313,2016-04-12,728,419
5577150313,2016-04-13,776,432
5577150313,2016-04-14,662,477
5577150313,2016-04-15,695,392
5577150313,2016-04-16,472,406
5577150313,2016-04-17,525,549
5577150313,2016-04-18,623,527
5577150313,2016-04-19,733,449
5577150313,2016-04-20,773,447
5577150313,2016-04-21,670,414
5577150313,2016-04-22,823,338
5577150313,2016-04-23,627,384
5577150313,2016-04-24,425,543
5577150313,2016-04-25,743,421
5577150313,2016-04-26,759,354
5577150313,2016-04-27,773,424
5577150313,2016-04-28,692,361
5577150313,2016-04-29,739,459
5577150313,2016-04-30,621,412
5577150313,2016-05-01,499,379
5577150313,2016-05-02,732,525
5577150313,2016-05-03,580,508
5577150313,2016-05-04,631,603
5577150313,2016-05-05,1153,74
5577150313,2016-05-10,639,504
5577150313,2016-05-11,257,431
6117666160,2016-04-16,502,380
6117666160,2016-04-17,702,336
6117666160,2016-04-18,759,493
6117666160,2016-04-19,425,465
6117666160,2016-04-20,587,474
6117666160,2016-04-21,579,508
6117666160,2016-04-22,413,480
6117666160,2016-04-23,468,492
6117666160,2016-04-24,711,353
6117666160,2016-04-27,417,542
6117666160,2016-04-28,758,393
6117666160,2016-04-29,479,600
6117666160,2016-05-01,525,507
6117666160,2016-05-05,479,392
6117666160,2016-05-06,673,658
6117666160,2016-05-07,456,498
6117666160,2016-05-08,517,555
6117666160,2016-05-09,125,492
6775888955,2016-04-13,1053,235
6775888955,2016-04-14,863,423
6775888955,2016-04-15,976,391
6962181067,2016-04-12,796,366
6962181067,2016-04-13,548,630
6962181067,2016-04-14,862,508
6962181067,2016-04-15,837,370
6962181067,2016-04-16,741,357
6962181067,2016-04-17,634,427
6962181067,2016-04-18,689,442
6962181067,2016-04-19,659,476
6962181067,2016-04-20,639,418
6962181067,2016-04-21,708,451
6962181067,2016-04-22,659,425
6962181067,2016-04-23,484,528
6962181067,2016-04-24,720,511
6962181067,2016-04-25,637,400
6962181067,2016-04-26,680,441
6962181067,2016-04-27,697,455
6962181067,2016-04-28,621,440
6962181067,2016-04-29,645,433
6962181067,2016-04-30,731,422
6962181067,2016-05-01,722,411
6962181067,2016-05-02,655,466
6962181067,2016-05-03,654,394
6962181067,2016-05-04,683,442
6962181067,2016-05-05,591,467
6962181067,2016-05-06,717,443
6962181067,2016-05-07,745,298
6962181067,2016-05-08,709,541
6962181067,2016-05-09,607,489
6962181067,2016-05-10,626,469
6962181067,2016-05-11,709,452
6962181067,2016-05-12,127,516
7007744171,2016-04-16,1155,79
7007744171,2016-05-01,1142,58
7086361926,2016-04-12,745,514
7086361926,2016-04-13,744,451
7086361926,2016-04-14,787,472
7086361926,2016-04-15,864,377
7086361926,2016-04-19,671,472
7086361926,2016-04-20,797,492
7086361926,2016-04-21,758,390
7086361926,2016-04-22,762,428
7086361926,2016-04-24,566,681
7086361926,2016-04-25,706,446
7086361926,2016-04-26,726,485
7086361926,2016-04-27,829,469
7086361926,2016-04-28,810,354
7086361926,2016-04-30,584,485
7086361926,2016-05-01,685,388
7086361926,2016-05-02,737,440
7086361926,2016-05-03,761,456
7086361926,2016-05-04,843,420
7086361926,2016-05-06,834,322
7086361926,2016-05-07,621,530
7086361926,2016-05-08,695,481
7086361926,2016-05-09,743,427
7086361926,2016-05-11,757,451
7086361926,2016-05-12,343,444
8053475328,2016-04-20,695,486
8053475328,2016-04-23,741,331
8053475328,2016-05-07,1076,74
8378563200,2016-04-12,723,338
8378563200,2016-04-13,680,447
8378563200,2016-04-14,699,424
8378563200,2016-04-15,729,513
8378563200,2016-04-16,563,611
8378563200,2016-04-17,599,525
8378563200,2016-04-18,720,398
8378563200,2016-04-19,737,387
8378563200,2016-04-20,763,381
8378563200,2016-04-21,677,396
8378563200,2016-04-22,769,441
8378563200,2016-04-23,740,565
8378563200,2016-04-24,734,458
8378563200,2016-04-25,692,388
8378563200,2016-04-26,593,550
8378563200,2016-04-27,676,531
8378563200,2016-04-28,711,506
8378563200,2016-04-29,767,527
8378563200,2016-04-30,780,468
8378563200,2016-05-01,669,475
8378563200,2016-05-02,802,351
8378563200,2016-05-03,822,405
8378563200,2016-05-04,680,441
8378563200,2016-05-05,764,381
8378563200,2016-05-06,831,323
8378563200,2016-05-07,851,459
8378563200,2016-05-08,621,545
8378563200,2016-05-09,772,359
8378563200,2016-05-10,840,342
8378563200,2016-05-11,763,368
8378563200,2016-05-12,433,496
8792009665,2016-04-12,831,458
8792009665,2016-04-13,806,531
8792009665,2016-04-14,853,486
8792009665,2016-04-15,937,363
8792009665,2016-04-20,744,528
8792009665,2016-04-22,817,391
8792009665,2016-04-23,795,339
8792009665,2016-04-27,900,423
8792009665,2016-04-28,714,402
8792009665,2016-04-29,634,398
8792009665,2016-04-30,749,343
8792009665,2016-05-01,834,503
8792009665,2016-05-02,916,415
8792009665,2016-05-03,739,516
8792009665,2016-05-04,848,439
